,1,2,3,5,10
10,85.79848754448398,87.37205427279218,89.15300888277243,92.14512582457854,
20,73.17438378253858,75.16577818229099,77.36117702895112,81.30277442702051,88.18650939918909
50,41.39992965177629,43.69672498878421,45.058626465661646,48.68095630667766,55.08607198748044
100,13.23,13.86,14.14,15.629999999999999,19.919999999999998
200,0.84,0.9400000000000001,1.0699999999999998,1.24,1.67
500,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0
10,85.79848754448398,87.37205427279218,89.15300888277243,92.14512582457854,
20,73.17438378253858,75.16577818229099,77.36117702895112,81.30277442702051,88.18650939918909
50,41.39992965177629,43.69672498878421,45.058626465661646,48.68095630667766,55.08607198748044
100,13.23,13.86,14.14,15.629999999999999,19.919999999999998
200,0.84,0.9400000000000001,1.0699999999999998,1.24,1.67
500,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0
