,1,2,3,5,10
10,92.88015106075753,93.10509364189431,93.7780548628429,93.89855427591277,
20,90.09081503621105,90.30783707487565,90.90620031796503,91.20031639311846,92.98084008843036
50,84.41117997894983,84.54897290860374,85.0335852225021,85.62950402713014,86.20689655172413
100,76.06,75.17,76.62,77.45,77.97
200,60.23,61.35,59.88,61.199999999999996,62.370000000000005
500,28.4,29.38,28.68,29.74,29.74
1000,6.69,6.370000000000001,6.59,7.380000000000001,7.08
10,92.88015106075753,93.10509364189431,93.7780548628429,93.89855427591277,
20,90.09081503621105,90.30783707487565,90.90620031796503,91.20031639311846,92.98084008843036
50,84.41117997894983,84.54897290860374,85.0335852225021,85.62950402713014,86.20689655172413
100,76.06,75.17,76.62,77.45,77.97
200,60.23,61.35,59.88,61.199999999999996,62.370000000000005
500,28.4,29.38,28.68,29.74,29.74
1000,6.69,6.370000000000001,6.59,7.380000000000001,7.08
