,1,2,3,5,10
10,86.07064017660045,89.22048466037961,90.77978789769183,93.24719648951731,
20,66.40374942844079,69.38153886902397,72.69006768455849,79.54815695600476,89.24514474166362
50,18.033929816407156,19.871985710032746,22.534917656868878,25.041118421052634,39.39393939393939
100,1.16,1.28,1.3599999999999999,1.77,3.58
200,0.0,0.0,0.01,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0
10,86.07064017660045,89.22048466037961,90.77978789769183,93.24719648951731,
20,66.40374942844079,69.38153886902397,72.69006768455849,79.54815695600476,89.24514474166362
50,18.033929816407156,19.871985710032746,22.534917656868878,25.041118421052634,39.39393939393939
100,1.16,1.28,1.3599999999999999,1.77,3.58
200,0.0,0.0,0.01,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0
