,1,2,3,5,10
10,95.09052538042874,94.56041989741144,94.9501246882793,94.8296986032835,
20,93.48200942637085,93.560962494959,94.24483306836248,94.26537472809966,94.39941046425939
50,90.42217284528125,90.50312593033641,90.848026868178,90.97075031793132,90.80459770114942
100,84.78999999999999,84.35000000000001,84.99,85.88,85.83
200,71.97,72.42,72.06,73.1,73.78
500,39.87,41.28,40.54,41.120000000000005,41.5
1000,12.24,11.95,11.67,12.27,12.35
10,95.09052538042874,94.56041989741144,94.9501246882793,94.8296986032835,
20,93.48200942637085,93.560962494959,94.24483306836248,94.26537472809966,94.39941046425939
50,90.42217284528125,90.50312593033641,90.848026868178,90.97075031793132,90.80459770114942
100,84.78999999999999,84.35000000000001,84.99,85.88,85.83
200,71.97,72.42,72.06,73.1,73.78
500,39.87,41.28,40.54,41.120000000000005,41.5
1000,12.24,11.95,11.67,12.27,12.35
