,1,2,3,5,10
10,0.3200883002207506,0.4297481198519757,0.7735495945102931,1.999024865919064,
20,0.04572473708276177,0.06621639517944643,0.11018416496143554,0.178359096313912,0.7511909124221327
50,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0
10,0.3200883002207506,0.4297481198519757,0.7735495945102931,1.999024865919064,
20,0.04572473708276177,0.06621639517944643,0.11018416496143554,0.178359096313912,0.7511909124221327
50,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0
