,1,2,3,5,10
10,91.75934163701068,92.41847179243038,93.35668710121357,94.71048130955289,
20,82.56162174614144,84.29332986607724,86.04651162790698,88.92239646160031,92.62808698857353
50,54.49642396529487,56.452818902347836,57.89363484087102,61.3767518549052,67.13615023474179
100,21.78,22.41,22.720000000000002,24.959999999999997,30.14
200,2.11,2.26,2.25,2.53,3.52
500,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0
10,91.75934163701068,92.41847179243038,93.35668710121357,94.71048130955289,
20,82.56162174614144,84.29332986607724,86.04651162790698,88.92239646160031,92.62808698857353
50,54.49642396529487,56.452818902347836,57.89363484087102,61.3767518549052,67.13615023474179
100,21.78,22.41,22.720000000000002,24.959999999999997,30.14
200,2.11,2.26,2.25,2.53,3.52
500,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0
